,logFC,logCPM,F,PValue,FDR
WBGene00005205,1.734992121,-0.549057393,22.16834669,2.92034495996186e-05,7.60816595549965e-05
WBGene00044120,0.858369698,1.653771717,22.05109479,2.92650592561612e-05,7.62278301647886e-05
WBGene00007260,0.920660692,5.266159466,22.04118907,2.93379041051964e-05,7.64032050507954e-05
WBGene00010038,0.361153673,4.829984381,22.04004918,2.93494151182956e-05,7.64188154546298e-05
WBGene00010491,-0.522368624,3.784810256,22.03741189,2.93775715093652e-05,7.64777524051356e-05
WBGene00021468,0.462429385,5.352137712,22.02599277,2.94895335904102e-05,7.67547950571894e-05
WBGene00015865,-0.849615615,5.702647702,22.02324999,2.95169595350076e-05,7.68117459099991e-05
WBGene00006310,0.729263025,2.787540287,22.01978091,2.95576896179136e-05,7.69032901178324e-05
WBGene00010928,-2.526515882,-0.62114609,21.8609148,2.96706019202425e-05,7.71825686007887e-05
WBGene00000630,1.079484144,1.167201557,22.00593703,2.97466737171801e-05,7.73659264608296e-05
WBGene00010700,0.485889921,7.212232021,21.99095968,2.98421948507864e-05,7.75926775374228e-05
WBGene00017310,0.44040196,4.617004034,21.99075104,2.98450610683936e-05,7.75926775374228e-05
WBGene00004296,-0.335415102,5.628785942,21.98247069,2.99284000060754e-05,7.77947451462107e-05
WBGene00021158,0.651767488,3.473205546,21.9770796,2.99863372174485e-05,7.79307210386674e-05
WBGene00018298,0.438011713,4.256770307,21.97215464,3.00349164888872e-05,7.80423303702993e-05
WBGene00050885,-0.702141479,2.663998707,21.96822675,3.00803910585846e-05,7.81458321349425e-05
WBGene00019772,0.444935056,5.548124342,21.96308738,3.012608763394e-05,7.82498717242334e-05
WBGene00004482,-0.320597224,10.59032141,21.95885182,3.01693863828508e-05,7.83476453271933e-05
WBGene00003827,0.284135096,7.316536326,21.95516488,3.02072060797889e-05,7.84311562544023e-05
WBGene00000188,0.484741763,3.48847773,21.94445862,3.03203077688407e-05,7.87100643204614e-05
WBGene00022104,-0.641780487,3.610447404,21.94344574,3.03303346258733e-05,7.87213406853282e-05
WBGene00021655,-0.435767534,4.297534387,21.92819389,3.04869845948042e-05,7.90995757479801e-05
WBGene00008385,-0.47760983,3.368900403,21.92829976,3.04874844728895e-05,7.90995757479801e-05
WBGene00015088,0.350073997,4.400509672,21.90348411,3.07438499867142e-05,7.97497771565477e-05
WBGene00001101,0.329025353,6.771907056,21.89734233,3.08068010305825e-05,7.98981104429187e-05
WBGene00001368,0.292318649,5.492466363,21.88797012,3.09052301308086e-05,8.01383840831077e-05
WBGene00002845,-0.243409948,8.52133154,21.88377333,3.09492949772332e-05,8.02376256830684e-05
WBGene00015864,1.330736174,0.262503,21.90628489,3.1021926661092e-05,8.04108772659892e-05
WBGene00011521,0.832585051,5.823145281,21.85284734,3.12767527827442e-05,8.10562356494992e-05
WBGene00012596,1.278722489,0.676538729,21.86050082,3.1362773432302e-05,8.12639613887481e-05
WBGene00019226,0.686683918,2.432049401,21.84347742,3.13862017226142e-05,8.13094569406493e-05
WBGene00006757,0.275844484,7.275130636,21.84159622,3.13967057040729e-05,8.13214598752463e-05
WBGene00019245,-0.356447133,5.341670417,21.8382207,3.14329055530413e-05,8.14000014433966e-05
WBGene00006163,1.645397717,0.456825579,21.85663023,3.17029360493914e-05,8.20839383469476e-05
WBGene00019944,0.450895507,4.401900057,21.78868054,3.19690607133194e-05,8.27571791429089e-05
WBGene00011422,-0.793893394,2.860804776,21.78856337,3.19749077947479e-05,8.27571791429089e-05
WBGene00011502,-0.291353446,4.902952682,21.78147298,3.20464631748929e-05,8.2926883597724e-05
WBGene00009387,0.820600838,1.276333187,21.77918222,3.21189310765318e-05,8.30988855569888e-05
WBGene00001535,0.918126242,3.077778009,21.77340816,3.21393808792583e-05,8.31362659084006e-05
WBGene00010736,0.332513734,6.353786156,21.76804097,3.21933284073949e-05,8.32602660752864e-05
WBGene00013269,-0.42060929,4.287729705,21.76710289,3.22053814646597e-05,8.32758902461204e-05
WBGene00044492,1.686714229,0.346371621,21.79634736,3.22236383026511e-05,8.33075471758722e-05
WBGene00018252,1.004095356,2.317447331,21.76354179,3.22554736104067e-05,8.33742900636972e-05
WBGene00012989,0.338888754,4.372215445,21.76037994,3.22790268178333e-05,8.34196043807139e-05
WBGene00016540,0.457055124,4.082066595,21.75640457,3.23231641728645e-05,8.35180880661294e-05
WBGene00007192,-0.21766459,7.914878787,21.75397536,3.23480404923603e-05,8.35667767437849e-05
WBGene00012929,0.21821879,7.48388844,21.75032676,3.23883088707194e-05,8.36457341008091e-05
WBGene00011083,-0.617348866,3.142021772,21.75050328,3.2390681325205e-05,8.36457341008091e-05
WBGene00008218,-1.001782137,6.358576817,21.7408357,3.24933230480674e-05,8.38951557990363e-05
WBGene00000176,-0.753652635,5.299655586,21.73253987,3.25856362322996e-05,8.41178220443187e-05
WBGene00001425,-0.48590315,4.164922596,21.73106015,3.26037376909888e-05,8.41488679887416e-05
WBGene00000424,-0.304113424,6.224819344,21.71825206,3.27445883272558e-05,8.44966537833732e-05
WBGene00008422,-0.290765488,6.721689967,21.71297602,3.28035663540486e-05,8.46330789972586e-05
WBGene00018281,0.523414473,3.733431589,21.69765131,3.29780594910221e-05,8.50674264561709e-05
WBGene00009739,-0.320349563,6.904343921,21.66535598,3.33411124025772e-05,8.59879145411467e-05
WBGene00018900,-0.554033213,5.951826649,21.66455381,3.33502832552186e-05,8.59955554079092e-05
WBGene00303026,-1.347233859,1.393171855,21.66235266,3.34239033793749e-05,8.61533788169306e-05
WBGene00023477,-1.527132414,0.601672923,21.67947377,3.34239285130079e-05,8.61533788169306e-05
WBGene00000512,0.646928959,3.382373572,21.64122187,3.36206494655366e-05,8.66443230505326e-05
WBGene00022033,-0.756384363,3.274508348,21.61165926,3.39624269171811e-05,8.7508842570088e-05
WBGene00007409,0.449593549,4.362252769,21.60485904,3.40390160400213e-05,8.76898735700901e-05
WBGene00021948,0.485247461,4.092426431,21.59754799,3.41245930887137e-05,8.78939872563893e-05
WBGene00044457,1.122581117,0.845334703,21.60254416,3.41871135857441e-05,8.80386498214775e-05
WBGene00077693,0.447892975,5.28762536,21.57809414,3.43504422975349e-05,8.84428116552889e-05
WBGene00021441,-0.89086917,3.631157796,21.57638349,3.43733156094929e-05,8.84852569824746e-05
WBGene00018466,0.77871613,2.855271151,21.57030861,3.44481396809968e-05,8.86539852856078e-05
WBGene00018811,-0.959166997,9.235305959,21.56948075,3.44516606116392e-05,8.86539852856078e-05
WBGene00022522,0.793423444,1.589348604,21.55640994,3.46377489183863e-05,8.91162886362346e-05
WBGene00007162,0.703168509,2.405799567,21.55231636,3.46656166841752e-05,8.91714247556536e-05
WBGene00020052,-0.599878433,3.461052114,21.54557796,3.4738001217963e-05,8.93410309824031e-05
WBGene00000264,-0.732495515,3.438873904,21.54389824,3.47580256481272e-05,8.9375936751041e-05
WBGene00014111,-0.429100395,4.281636478,21.53895131,3.48152262664818e-05,8.95064057615637e-05
WBGene00206521,1.22837958,0.089971417,21.57766781,3.48885611536426e-05,8.96629633559391e-05
WBGene00012553,-0.230040748,9.104490658,21.53260806,3.48890681842703e-05,8.96629633559391e-05
WBGene00022047,0.470379205,4.865352974,21.52671564,3.49598589872868e-05,8.9828226060452e-05
WBGene00012381,0.969681571,4.361843733,21.51526613,3.5098491206089e-05,9.0167711458966e-05
WBGene00017299,0.595242582,2.954578435,21.50918119,3.51755840575435e-05,9.03490061867406e-05
WBGene00019720,0.548457435,3.36792495,21.4944567,3.53515131301588e-05,9.07840489208305e-05
WBGene00004356,0.314456955,5.467057269,21.48973964,3.54050521436432e-05,9.09046862453652e-05
WBGene00001821,0.480151514,4.116709576,21.48873978,3.54190953590488e-05,9.09238897171134e-05
WBGene00021765,-0.243879381,5.0094354,21.47987329,3.55250051708684e-05,9.11788718967704e-05
WBGene00004433,-0.297554828,11.15710811,21.47200588,3.56207018845081e-05,9.1407551408708e-05
WBGene00021856,-0.3142621,5.10255032,21.4571402,3.5802789836139e-05,9.18577967790698e-05
WBGene00003056,-0.409481358,4.364280652,21.45033586,3.58879349089554e-05,9.20591989553427e-05
WBGene00003661,0.287297781,5.354512867,21.44636498,3.59352165156292e-05,9.2163417732734e-05
